Year,Year,Week,Away Team,Away Team,Home Team
2014,2014,14,SF,SF,OAK
2014,2014,14,SEA,SEA,PHI
2014,2014,14,NE,NE,LAC
2014,2014,14,ATL,ATL,GB
2014,2014,15,ARI,ARI,LAR
2014,2014,15,PIT,PIT,ATL
2014,2014,15,GB,GB,BUF
2014,2014,15,CIN,CIN,CLE
2014,2014,15,HOU,HOU,IND
2014,2014,15,OAK,OAK,KC
2014,2014,15,MIA,MIA,NE
2014,2014,15,WAS,WAS,NYG
2014,2014,15,TB,TB,CAR
2014,2014,15,JAX,JAX,BAL
2014,2014,15,NYJ,NYJ,TEN
2014,2014,15,DEN,DEN,LAC
2014,2014,15,SF,SF,SEA
2014,2014,15,MIN,MIN,DET
2014,2014,15,DAL,DAL,PHI
2014,2014,15,NO,NO,CHI
2014,2014,16,TEN,TEN,JAX
2014,2014,16,PHI,PHI,WAS
2014,2014,16,LAC,LAC,SF
2014,2014,16,DET,DET,CHI
2014,2014,16,MIN,MIN,MIA
2014,2014,16,ATL,ATL,NO
2014,2014,16,NE,NE,NYJ
2014,2014,16,KC,KC,PIT
2014,2014,16,GB,GB,TB
2014,2014,16,CLE,CLE,CAR
2014,2014,16,BAL,BAL,HOU
2014,2014,16,NYG,NYG,LAR
2014,2014,16,IND,IND,DAL
2014,2014,16,BUF,BUF,OAK
2014,2014,16,SEA,SEA,ARI
2014,2014,16,DEN,DEN,CIN
2014,2014,17,IND,IND,TEN
2014,2014,17,LAC,LAC,KC
2014,2014,17,NYJ,NYJ,MIA
2014,2014,17,CHI,CHI,MIN
2014,2014,17,BUF,BUF,NE
2014,2014,17,PHI,PHI,NYG
2014,2014,17,NO,NO,TB
2014,2014,17,DAL,DAL,WAS
2014,2014,17,CLE,CLE,BAL
2014,2014,17,JAX,JAX,HOU
2014,2014,17,CAR,CAR,ATL
2014,2014,17,DET,DET,GB
2014,2014,17,OAK,OAK,DEN
2014,2014,17,ARI,ARI,SF
2014,2014,17,LAR,LAR,SEA
2014,2014,17,CIN,CIN,PIT
2016,2016,1,CAR,CAR,DEN
2016,2016,1,TB,TB,ATL
2016,2016,1,MIN,MIN,TEN
2016,2016,1,CLE,CLE,PHI
2016,2016,1,CIN,CIN,NYJ
2016,2016,1,OAK,OAK,NO
2016,2016,1,LAC,LAC,KC
2016,2016,1,BUF,BUF,BAL
2016,2016,1,CHI,CHI,HOU
2016,2016,1,GB,GB,JAX
2016,2016,1,MIA,MIA,SEA
2016,2016,1,NYG,NYG,DAL
2016,2016,1,DET,DET,IND
2016,2016,1,NE,NE,ARI
2016,2016,1,PIT,PIT,WAS
2016,2016,1,LAR,LAR,SF
2016,2016,2,NYJ,NYJ,BUF
2016,2016,2,SF,SF,CAR
2016,2016,2,DAL,DAL,WAS
2016,2016,2,CIN,CIN,PIT
2016,2016,2,NO,NO,NYG
2016,2016,2,MIA,MIA,NE
2016,2016,2,KC,KC,HOU
2016,2016,2,TEN,TEN,DET
2016,2016,2,BAL,BAL,CLE
2016,2016,2,SEA,SEA,LAR
2016,2016,2,TB,TB,ARI
2016,2016,2,JAX,JAX,LAC
2016,2016,2,ATL,ATL,OAK
2016,2016,2,IND,IND,DEN
2016,2016,2,GB,GB,MIN
2016,2016,2,PHI,PHI,CHI
2016,2016,3,HOU,HOU,NE
2016,2016,3,ARI,ARI,BUF
2016,2016,3,OAK,OAK,TEN
2016,2016,3,WAS,WAS,NYG
2016,2016,3,CLE,CLE,MIA
2016,2016,3,BAL,BAL,JAX
2016,2016,3,DET,DET,GB
2016,2016,3,DEN,DEN,CIN
2016,2016,3,MIN,MIN,CAR
2016,2016,3,LAR,LAR,TB
2016,2016,3,SF,SF,SEA
2016,2016,3,NYJ,NYJ,KC
2016,2016,3,LAC,LAC,IND
2016,2016,3,PIT,PIT,PHI
2016,2016,3,CHI,CHI,DAL
2016,2016,3,ATL,ATL,NO
