Year,Year,Week,Home Team,Home Team
2016,2016,16,BUF,BUF
2016,2016,16,NO,NO
2016,2016,16,NE,NE
2016,2016,16,JAX,JAX
2016,2016,16,GB,GB
2016,2016,16,CLE,CLE
2016,2016,16,CHI,CHI
2016,2016,16,CAR,CAR
2016,2016,16,OAK,OAK
2016,2016,16,SEA,SEA
2016,2016,16,LAR,LAR
2016,2016,16,HOU,HOU
2016,2016,16,PIT,PIT
2016,2016,16,KC,KC
2016,2016,16,DAL,DAL
2016,2016,17,PIT,PIT
2016,2016,17,CIN,CIN
2016,2016,17,TEN,TEN
2016,2016,17,TB,TB
2016,2016,17,IND,IND
2016,2016,17,MIA,MIA
2016,2016,17,MIN,MIN
2016,2016,17,NYJ,NYJ
2016,2016,17,PHI,PHI
2016,2016,17,LAR,LAR
2016,2016,17,DEN,DEN
2016,2016,17,LAC,LAC
2016,2016,17,SF,SF
2016,2016,17,ATL,ATL
2016,2016,17,WAS,WAS
2016,2016,17,DET,DET
2017,2017,1,NE,NE
2017,2017,1,BUF,BUF
2017,2017,1,WAS,WAS
2017,2017,1,TEN,TEN
2017,2017,1,HOU,HOU
2017,2017,1,DET,DET
2017,2017,1,CHI,CHI
2017,2017,1,CIN,CIN
2017,2017,1,CLE,CLE
2017,2017,1,LAR,LAR
2017,2017,1,GB,GB
2017,2017,1,SF,SF
2017,2017,1,DAL,DAL
2017,2017,1,MIN,MIN
2017,2017,1,DEN,DEN
2017,2017,2,CIN,CIN
2017,2017,2,BAL,BAL
2017,2017,2,TB,TB
2017,2017,2,PIT,PIT
2017,2017,2,NO,NO
2017,2017,2,KC,KC
2017,2017,2,JAX,JAX
2017,2017,2,IND,IND
2017,2017,2,CAR,CAR
2017,2017,2,OAK,OAK
2017,2017,2,LAC,LAC
2017,2017,2,SEA,SEA
2017,2017,2,LAR,LAR
2017,2017,2,DEN,DEN
2017,2017,2,ATL,ATL
2017,2017,2,NYG,NYG
2017,2017,3,SF,SF
2017,2017,3,JAX,JAX
2017,2017,3,IND,IND
2017,2017,3,PHI,PHI
2017,2017,3,NYJ,NYJ
2017,2017,3,BUF,BUF
2017,2017,3,CAR,CAR
2017,2017,3,CHI,CHI
2017,2017,3,DET,DET
2017,2017,3,MIN,MIN
2017,2017,3,NE,NE
2017,2017,3,TEN,TEN
2017,2017,3,GB,GB
2017,2017,3,LAC,LAC
2017,2017,3,WAS,WAS
2017,2017,3,ARI,ARI
2017,2017,4,GB,GB
2017,2017,4,MIA,MIA
2017,2017,4,HOU,HOU
2017,2017,4,NYJ,NYJ
2017,2017,4,NE,NE
2017,2017,4,MIN,MIN
2017,2017,4,ATL,ATL
2017,2017,4,BAL,BAL
2017,2017,4,CLE,CLE
2017,2017,4,DAL,DAL
2017,2017,4,LAC,LAC
2017,2017,4,TB,TB
2017,2017,4,ARI,ARI
2017,2017,4,DEN,DEN
2017,2017,4,SEA,SEA
2017,2017,4,KC,KC
2017,2017,5,TB,TB
2017,2017,5,CLE,CLE
2017,2017,5,DET,DET
2017,2017,5,IND,IND
