12/15/18,NYJ,HOU,29,22,2018
12/23/18,PHI,HOU,30,32,2018
12/30/18,HOU,JAX,20,3,2018
09/09/18,DEN,SEA,27,24,2018
09/16/18,DEN,OAK,20,19,2018
09/23/18,BAL,DEN,14,27,2018
10/01/18,DEN,KC,23,27,2018
10/07/18,NYJ,DEN,16,34,2018
10/14/18,DEN,LA,20,23,2018
10/18/18,ARI,DEN,45,10,2018
11/04/18,DEN,HOU,17,19,2018
11/18/18,LAC,DEN,23,22,2018
11/25/18,DEN,PIT,24,17,2018
12/24/18,OAK,DEN,14,27,2018
12/30/18,DEN,LAC,9,23,2018
12/02/18,CIN,DEN,24,10,2018
12/15/18,DEN,CLE,16,17,2018
12/09/18,SF,DEN,14,20,2018
09/09/18,DEN,SEA,24,27,2018
09/17/18,CHI,SEA,17,24,2018
09/23/18,SEA,DAL,24,13,2018
09/30/18,ARI,SEA,20,17,2018
10/07/18,SEA,LA,31,33,2018
10/14/18,OAK,SEA,27,3,2018
10/07/18,DET,GB,31,23,2018
10/21/18,MIA,DET,32,21,2018
10/28/18,DET,SEA,14,28,2018
09/10/18,DET,NYJ,17,48,2018
09/16/18,SF,DET,27,30,2018
09/23/18,DET,NE,26,10,2018
09/30/18,DAL,DET,24,26,2018
12/23/18,DET,MIN,9,27,2018
11/04/18,MIN,DET,9,24,2018
11/18/18,DET,CAR,20,19,2018
11/22/18,DET,CHI,16,23,2018
12/09/18,ARI,DET,17,3,2018
11/11/18,CHI,DET,22,34,2018
12/30/18,GB,DET,31,0,2018
12/02/18,DET,LA,16,30,2018
12/16/18,BUF,DET,13,14,2018
09/16/18,TEN,HOU,17,20,2018
11/18/18,NO,PHI,7,48,2018
11/25/18,PHI,NYG,25,22,2018
12/03/18,PHI,WAS,28,13,2018
12/09/18,DAL,PHI,23,29,2018
12/16/18,LA,PHI,30,23,2018
12/23/18,PHI,HOU,32,30,2018
12/30/18,WAS,PHI,24,0,2018
11/25/18,IND,MIA,24,27,2018
12/02/18,MIA,BUF,21,17,2018
12/09/18,MIA,NE,34,33,2018
12/16/18,MIN,MIA,17,41,2018
09/09/18,GB,CHI,24,23,2018
10/28/18,LA,GB,27,29,2018
12/30/18,GB,DET,0,31,2018
09/16/18,GB,MIN,29,29,2018
09/23/18,WAS,GB,17,31,2018
09/30/18,GB,BUF,22,0,2018
10/07/18,DET,GB,23,31,2018
11/04/18,NE,GB,17,31,2018
09/23/18,WAS,GB,31,17,2018
10/08/18,NO,WAS,19,43,2018
10/14/18,WAS,CAR,23,17,2018
10/21/18,WAS,DAL,20,17,2018
10/28/18,NYG,WAS,20,13,2018
11/04/18,WAS,ATL,14,38,2018
11/11/18,TB,WAS,16,3,2018
11/18/18,WAS,HOU,21,23,2018
11/22/18,DAL,WAS,23,31,2018
10/15/18,GB,SF,33,30,2018
11/18/18,WAS,HOU,23,21,2018
10/14/18,HOU,BUF,20,13,2018
09/30/18,IND,HOU,37,34,2018
10/07/18,HOU,DAL,19,16,2018
12/02/18,HOU,CLE,29,13,2018
09/09/18,IND,CIN,23,34,2018
09/30/18,IND,HOU,34,37,2018
10/28/18,OAK,IND,42,28,2018
11/18/18,IND,TEN,38,10,2018
11/25/18,IND,MIA,27,24,2018
12/02/18,JAX,IND,0,6,2018
12/09/18,HOU,IND,24,21,2018
12/16/18,IND,DAL,23,0,2018
12/23/18,IND,NYG,28,27,2018
12/30/18,TEN,IND,33,17,2018
11/04/18,MIA,NYJ,6,13,2018
11/11/18,NYJ,BUF,10,41,2018
12/09/18,BUF,NYJ,27,23,2018
12/15/18,NYJ,HOU,22,29,2018
12/23/18,NYJ,GB,38,44,2018
09/23/18,PHI,IND,16,20,2018
10/21/18,IND,BUF,37,5,2018
09/16/18,WAS,IND,21,9,2018
12/16/18,JAX,WAS,13,16,2018
09/23/18,JAX,TEN,6,9,2018
10/07/18,KC,JAX,14,30,2018
10/21/18,JAX,HOU,7,20,2018
09/09/18,NYG,JAX,20,15,2018
09/16/18,JAX,NE,31,20,2018
09/30/18,JAX,NYJ,31,12,2018
10/14/18,DAL,JAX,7,40,2018
09/30/18,NYG,NO,18,33,2018
09/09/18,LAC,KC,38,28,2018
09/16/18,PIT,KC,42,37,2018
09/23/18,KC,SF,38,27,2018
10/01/18,DEN,KC,27,23,2018
10/07/18,KC,JAX,30,14,2018
10/14/18,NE,KC,40,43,2018
10/21/18,KC,CIN,45,10,2018
10/28/18,KC,DEN,30,23,2018
11/04/18,CLE,KC,37,21,2018
11/11/18,KC,ARI,26,14,2018
11/19/18,LA,KC,51,54,2018
12/02/18,OAK,KC,40,33,2018
12/09/18,KC,BAL,27,24,2018
12/30/18,BUF,MIA,17,42,2018
12/23/18,MIA,JAX,7,17,2018
11/11/18,LA,SEA,31,36,2018
12/02/18,SEA,SF,43,16,2018
12/10/18,SEA,MIN,21,7,2018
12/30/18,SEA,ARI,27,24,2018
09/09/18,MIN,SF,24,16,2018
10/28/18,OAK,IND,28,42,2018
11/01/18,SF,OAK,3,34,2018
11/11/18,OAK,LAC,6,20,2018
11/18/18,ARI,OAK,23,21,2018
11/25/18,BAL,OAK,17,34,2018
12/02/18,OAK,KC,33,40,2018
12/09/18,OAK,PIT,24,21,2018
12/30/18,KC,OAK,3,35,2018
09/23/18,HOU,NYG,27,22,2018
11/04/18,NE,GB,31,17,2018
09/09/18,NE,HOU,27,20,2018
09/16/18,JAX,NE,20,31,2018
10/04/18,NE,IND,38,24,2018
